gene_id,x,y,z
SCGB1C1,-0.26568230711997914,-0.15830712776408115,-0.029554094868250887
ODF3,-0.26709998838590393,-0.1559143418925441,-0.03391763265664943
BET1L,-0.2691909425448398,-0.15238488877181725,-0.040353603240297645
RIC8A,-0.2709938265266937,-0.14934176602745813,-0.04590343689666718
SIRT3,-0.27723520373950034,-0.1388074302476091,-0.06511477957152896
LOC103234607,-0.27197045467019293,-0.14769347226055948,-0.04891000760917617
PSMD13,-0.2818714638954804,-0.1309824315942141,-0.07938537784645264
NLRP6,-0.2903146948897812,-0.11673181349205655,-0.10537503195923378
ATHL1,-0.292756487893974,-0.11261038816469737,-0.11289093447237927
IFITM5,-0.29396243370779096,-0.11057535843264805,-0.11660274678229135
LOC103241759,-0.2975098954974373,-0.10458775597126517,-0.12752270513796424
IFITM1,-0.2979953083021689,-0.10376832034693094,-0.12901605045789669
LOC103241765,-0.2999024418196039,-0.1005495820954412,-0.1348868180774013
IFITM3,-0.30280079629009404,-0.09565757845067584,-0.14380800405318941
B4GALNT4,-0.31661381568195185,-0.13923266367198794,-0.16829123192394127
PKP3,-0.32189042802910783,-0.09357426927761127,-0.19444258266626313
SIGIRR,-0.3244300230710188,-0.1028868823352011,-0.1985925902752644
ANO9,-0.3288045494926669,-0.11892808664022529,-0.20574168857709546
PTDSS2,-0.3057339175930917,-0.07855104651725037,-0.17771677302906158
RNH1,-0.3304978134500361,-0.14327178379737543,-0.21247804975422158
LOC103243628,-0.3351394887684513,-0.15119820955696409,-0.2180734836615852
HRAS,-0.31959549908140394,-0.12465446577708655,-0.19933587371771566
LRRC56,-0.3088107689394955,-0.10623807928041158,-0.18633527440072425
C1H11orf35,-0.3069901427964714,-0.10312908894926671,-0.1841403722570477
RASSF7,-0.30471328826404703,-0.0992409172965839,-0.1813956630442077
LOC103222129,-0.30243872233569563,-0.09535696992140615,-0.17865418368321867
PHRF1,-0.3257143782123749,-0.15770029447038,-0.1469954503494235
IRF7,-0.3033398557552724,-0.10870294617221223,-0.14853717686525045
CDHR5,-0.30539363162905875,-0.11539376460470402,-0.14259853640152395
SCT,-0.3059361666460312,-0.11716150930104571,-0.1410304554518759
DRD4,-0.3090867864258417,-0.12742556949349765,-0.1319212706802301
DEAF1,-0.29449218798611154,-0.07894956012227333,-0.1592008428570819
TMEM80,-0.312916856118622,-0.13954629676764208,-0.11511201939720048
EPS8L2,-0.3080961755245639,-0.12351240905865032,-0.12376865667837157
TALDO1,-0.3009073293801139,-0.09960160858625719,-0.13667747882287723
PDDC1,-0.29756180325525855,-0.0884739455162568,-0.14268542032211223
CEND1,-0.29507223986758446,-0.0801935989734932,-0.14715606380133814
