Y,Z
-0.9087639,-3.1768875
-0.88643265,-3.139534
-0.85350037,-3.0844345
-0.82510376,-3.0369263
-0.726799,-2.872467
-0.8097191,-3.0111923
-0.65377426,-2.7503052
-0.5207901,-2.5278206
-0.48233032,-2.463482
-0.46333694,-2.4317055
-0.40745926,-2.3382301
-0.3998146,-2.3254395
-0.36977768,-2.2751846
-0.3241272,-2.1988144
-0.5289993,-2.5877304
-0.21377945,-2.0350113
-0.25966644,-2.1211624
-0.33869934,-2.2695541
-0.07652283,-1.6868668
-0.43271255,-2.4089813
-0.48477173,-2.525322
-0.31043625,-2.1357193
-0.18947983,-1.8654022
-0.16906357,-1.8197708
-0.14352798,-1.762703
-0.11801529,-1.7056885
-0.4230423,-1.5723152
-0.15110016,-1.3537483
-0.18033218,-1.3042374
-0.18805313,-1.2911568
-0.2328949,-1.2152023
-0.48133087,-0.8298416
-0.46279144,-0.83942795
-0.5556755,-0.6946411
-0.6941948,-0.47873306
-0.75865936,-0.37825394
-0.80662537,-0.30348206
-0.24521255,-0.85269165
-0.81879044,-0.26791382
-0.7708664,-0.2989998
-0.74612045,-0.31505203
-0.6914444,-0.35051727
-0.6146164,-0.40034866
-0.56635284,-0.43165207
-0.5187683,-0.46251678
-0.49028015,-0.480999
-0.3202629,-0.5912781
-0.4174919,-0.2607727
0.2554283,-0.4568367
0.25319672,-0.27728653
0.32950592,-0.28001404
0.18421555,-0.09845352
0.48727036,-0.24028778
0.8070984,-0.51088333
0.9009514,-0.5548935
0.39345932,-0.13800049
0.7192688,-0.44555283
0.52793884,-0.30077362
0.4144554,-0.8172569
0.3883133,-0.32444382
0.31517792,-1.3743896
0.2618065,-1.0237617
0.2669487,-1.4829063
0.26828766,-1.6023521
0.26904678,-1.6701584
0.27054977,-1.8041115
0.5957031,-1.8376541
0.58719254,-2.3080025
0.38394928,-2.5162315
0.19796371,-2.4395676
0.08006668,-2.3909683
0.50271225,-2.0809479
0.06188202,-1.8798103
0.07309723,-1.8499298
0.4094696,-1.5124054
0.12004471,-1.7248726
0.41939545,-1.3052254
0.6643257,-1.0429916
0.8104973,-0.75200653
0.8330879,-0.37593842
0.98163223,-0.4593048
1.0678825,-0.6157036
1.1259422,-0.7209854
1.1461754,-0.757679
1.1820221,-0.8226776
1.2263069,-0.902977
0.838398,-0.53764725
0.8418312,-0.4591179
1.0124855,-0.5122566
0.9142418,-0.48166656
0.9173088,-0.35774612
1.6787949,-0.67773056
1.5196915,-0.581234
1.7707367,-1.644619
1.2680016,-0.50024796
1.7594414,-1.8635979
1.7764816,-1.8766861
1.7671928,-1.7273788
1.301197,-2.4070625
1.4347,-1.8709335
1.3888474,-1.8921509
1.2675819,-1.9482613
1.0523071,-1.4649048
0.5210686,-1.4785538
0.6270561,-1.6634789
0.5657387,-1.5564919
0.5216446,-1.479557
0.63142776,-1.9911156
0.63539505,-2.003006
0.87477875,-2.1972885
0.973938,-2.2354507
0.98825455,-2.2409592
1.0581474,-2.2678604
1.321331,-2.3691483
1.2281647,-1.8339119
1.5093498,-2.1919174
1.5242119,-2.1355553
1.5994263,-1.850357
1.615654,-1.7888145
1.3188667,-1.9982681
1.4359169,-1.7363663
1.3908081,-1.7616501
1.5951843,-1.2347527
1.3463364,-1.5681076
1.6865387,-1.0557289
1.9395523,-1.2750854
1.0103302,-1.4227715
1.4948769,-2.0662422
1.5049858,-2.089058
1.8108673,-0.8825989
1.1336098,-1.3843956
1.3956223,-1.2428055
1.037796,-1.4361725
1.2508736,-1.8296356
0.8677254,-1.5461655
0.7980118,-1.601635
0.45308685,-2.20969
0.6290512,-2.2106018
0.6343384,-2.2106285
