gene_id,x,y,z
SCGB1C1,0.9413681,-0.9087639,-3.1768875
ODF3,0.96838,-0.88643265,-3.139534
BET1L,1.0082207,-0.85350037,-3.0844345
RIC8A,1.042572,-0.82510376,-3.0369263
SIRT3,1.1614876,-0.726799,-2.872467
LOC103234607,1.0611801,-0.8097191,-3.0111923
PSMD13,1.2498207,-0.65377426,-2.7503052
NLRP6,1.4106903,-0.5207901,-2.5278206
ATHL1,1.4572144,-0.48233032,-2.463482
IFITM5,1.4801903,-0.46333694,-2.4317055
LOC103241759,1.5477791,-0.40745926,-2.3382301
IFITM1,1.5570259,-0.3998146,-2.3254395
LOC103241765,1.5933647,-0.36977768,-2.2751846
IFITM3,1.6485863,-0.3241272,-2.1988144
B4GALNT4,1.8658371,-0.5289993,-2.5877304
PKP3,1.9916077,-0.21377945,-2.0350113
SIGIRR,2.030655,-0.25966644,-2.1211624
ANO9,2.0979195,-0.33869934,-2.2695541
PTDSS2,2.3241768,-0.07652283,-1.6868668
RNH1,2.3622093,-0.43271255,-2.4089813
LOC103243628,2.3140984,-0.48477173,-2.525322
HRAS,2.4752197,-0.31043625,-2.1357193
LRRC56,2.5870094,-0.18947983,-1.8654022
C1H11orf35,2.6058807,-0.16906357,-1.8197708
RASSF7,2.6294823,-0.14352798,-1.762703
LOC103222129,2.653061,-0.11801529,-1.7056885
PHRF1,2.065895,-0.4230423,-1.5723152
IRF7,2.4629822,-0.15110016,-1.3537483
CDHR5,2.3929596,-0.18033218,-1.3042374
SCT,2.3744583,-0.18805313,-1.2911568
DRD4,2.2670403,-0.2328949,-1.2152023
DEAF1,2.106182,-0.48133087,-0.8298416
TMEM80,1.8832893,-0.46279144,-0.83942795
EPS8L2,1.8145294,-0.5556755,-0.6946411
TALDO1,1.7119904,-0.6941948,-0.47873306
PDDC1,1.6642723,-0.75865936,-0.37825394
CEND1,1.6287651,-0.80662537,-0.30348206
SLC25A22,2.020874,-0.24521255,-0.85269165
LOC103233437,1.6185608,-0.81879044,-0.26791382
PIDD1,1.6508942,-0.7708664,-0.2989998
LOC103233792,1.6675911,-0.74612045,-0.31505203
RPLP2,1.7044792,-0.6914444,-0.35051727
PNPLA2,1.7563133,-0.6146164,-0.40034866
EFCAB4A,1.7888756,-0.56635284,-0.43165207
CD151,1.8209801,-0.5187683,-0.46251678
POLR2L,1.8402023,-0.49028015,-0.480999
TSPAN4,1.9549103,-0.3202629,-0.5912781
CHID1,1.3535461,-0.4174919,-0.2607727
AP2A2,2.0288734,0.2554283,-0.4568367
MUC6,1.6529503,0.25319672,-0.27728653
LOC103235151,1.7531166,0.32950592,-0.28001404
MUC2,0.9916229,0.18421555,-0.09845352
LOC103241697,1.8134117,0.48727036,-0.24028778
MUC5AC,1.3046341,0.8070984,-0.51088333
MUC5B,0.83823776,0.9009514,-0.5548935
TOLLIP,1.2334976,0.39345932,-0.13800049
