gene_id,x,y,z
SCGB1C1,-0.2656823071199796,-0.15830712776408096,-0.02955409486825033
ODF3,-0.26709998838590426,-0.1559143418925439,-0.03391763265664887
BET1L,-0.26919094254484016,-0.15238488877181702,-0.04035360324029711
RIC8A,-0.27099382652669407,-0.1493417660274579,-0.045903436896666615
SIRT3,-0.2772352037395007,-0.13880743024760886,-0.06511477957152842
LOC103234607,-0.2719704546701934,-0.14769347226055926,-0.048910007609175625
PSMD13,-0.28187146389548073,-0.13098243159421386,-0.0793853778464521
NLRP6,-0.2903146948897815,-0.11673181349205627,-0.10537503195923326
ATHL1,-0.2927564878939743,-0.11261038816469708,-0.11289093447237872
IFITM5,-0.29396243370779124,-0.11057535843264775,-0.11660274678229081
LOC103241759,-0.29750989549743756,-0.10458775597126486,-0.12752270513796368
IFITM1,-0.29799530830216925,-0.10376832034693062,-0.1290160504578961
LOC103241765,-0.29990244181960424,-0.10054958209544088,-0.1348868180774007
IFITM3,-0.3028007962900944,-0.09565757845067552,-0.1438080040531889
B4GALNT4,-0.31661381568195207,-0.13923266367198767,-0.1682912319239406
PKP3,-0.321890428029108,-0.09357426927761091,-0.19444258266626252
SIGIRR,-0.3244300230710191,-0.10288688233520075,-0.19859259027526377
ANO9,-0.3288045494926672,-0.11892808664022493,-0.2057416885770948
PTDSS2,-0.30573391759309193,-0.07855104651725002,-0.17771677302906103
RNH1,-0.3304978134500363,-0.14327178379737507,-0.21247804975422088
LOC103243628,-0.3351394887684516,-0.1511982095569637,-0.21807348366158447
HRAS,-0.3195954990814042,-0.12465446577708615,-0.19933587371771502
LRRC56,-0.3088107689394957,-0.10623807928041122,-0.18633527440072367
C1H11orf35,-0.3069901427964717,-0.10312908894926637,-0.18414037225704713
RASSF7,-0.30471328826404726,-0.09924091729658353,-0.1813956630442071
LOC103222129,-0.30243872233569596,-0.09535696992140578,-0.17865418368321814
PHRF1,-0.3257143782123753,-0.15770029447037967,-0.14699545034942282
IRF7,-0.30333985575527267,-0.10870294617221192,-0.14853717686524986
CDHR5,-0.305393631629059,-0.1153937646047037,-0.14259853640152334
SCT,-0.30593616664603146,-0.1171615093010454,-0.1410304554518753
DRD4,-0.30908678642584203,-0.12742556949349734,-0.1319212706802295
DEAF1,-0.2944921879861118,-0.07894956012227301,-0.15920084285708136
TMEM80,-0.31291685611862236,-0.13954629676764171,-0.11511201939719985
EPS8L2,-0.30809617552456425,-0.12351240905865,-0.12376865667837099
TALDO1,-0.3009073293801143,-0.0996016085862569,-0.13667747882287667
PDDC1,-0.2975618032552587,-0.08847394551625647,-0.14268542032211168
CEND1,-0.29507223986758474,-0.08019359897349286,-0.1471560638013376
SLC25A22,-0.30646270989591207,-0.16134749659027975,-0.12045231894915302
LOC103233437,-0.29353647634253094,-0.07729087196588735,-0.14959528417417886
PIDD1,-0.2936485905796169,-0.08345459873821214,-0.14855756214548846
LOC103233792,-0.2937065254226877,-0.08663727464391732,-0.14802144633920455
RPLP2,-0.29383440140438194,-0.09366935158732503,-0.14683759245721356
PNPLA2,-0.2940140981752734,-0.10355072336535284,-0.14517383808053122
EFCAB4A,-0.2941269471979831,-0.10975780977047707,-0.14412883035306626
CD151,-0.2942382158474627,-0.11587784402543017,-0.1430985204103991
POLR2L,-0.2943048070864459,-0.11954221141833339,-0.1424820340569071
TSPAN4,-0.2947024272497267,-0.14140881092501134,-0.13880089449505076
CHID1,-0.331007261247402,-0.09089478375956413,-0.14741938017147746
AP2A2,-0.3111611565548541,-0.08728350405911661,-0.0873043846776148
MUC6,-0.3368452588452661,-0.06308785640265002,-0.09297824179316207
LOC103235151,-0.33242238548161146,-0.054914671892405176,-0.08205480894629187
MUC2,-0.2980954606380724,-0.08855914788816681,-0.12861725521266562
LOC103241697,-0.31228458537953563,-0.04266755795789238,-0.06609608815364035
MUC5AC,-0.30467186226490417,-0.05809693803868081,-0.15316085193558487
MUC5B,-0.28791206492395305,-0.07499318111812894,-0.20344521573112287
TOLLIP,-0.2822790704580892,-0.083783265865169,-0.24530056428331526
LOC103235445,-0.29291672259570056,-0.07961628612760947,-0.2678830095522379
LOC103241805,-0.29297381164989267,-0.08338882931741087,-0.299022482446741
BRSK2,-0.34346260226665243,-0.03185078567509047,-0.32260733860969043
LOC103236142,-0.3038479423243172,-0.07459663911942585,-0.32284466645240445
MOB2,-0.2775089541555239,-0.07851122162679632,-0.33109393423931105
LOC103236198,-0.3426020636361176,-0.029820919838510256,-0.34712990534391047
LOC103241812,-0.30421782200922043,-0.054144750103175564,-0.3417703766724676
DUSP8,-0.2942323230071244,-0.06047224352881154,-0.34037559502938386
LOC103241820,-0.2885636063355089,-0.06406473012363265,-0.339584360219936
LOC103236463,-0.2773652406205515,-0.07116092762240277,-0.33802092260521605
LOC103236414,-0.3318478467983842,-0.0018023440040463258,-0.3453950812258904
LOC103241837,-0.2900966809328412,-0.029737330565406776,-0.3395751792792204
LOC103236741,-0.3507978911018805,-0.001445677175156859,-0.31514600964892275
IFITM10,-0.3657062991155303,-0.007581223178126729,-0.30546754577156415
CTSD,-0.37515655810091647,-0.011470426876802425,-0.29933186474128765
LOC103241848,-0.3247470733761578,-0.04183857986308303,-0.2948627920172494
SYT8,-0.359420300434013,-0.05815851556995268,-0.2708609420070706
TNNI2,-0.35734318463592174,-0.06094544984467738,-0.2695585049008041
LOC103237714,-0.39771220240907196,-0.024710375148925913,-0.2797677439721788
LOC103238179,-0.34865028615319227,-0.07261153934892974,-0.2641094507110044
TNNT3,-0.36265553229243025,-0.06595058434195053,-0.26267824841127363
MRPL23,-0.3890242360831695,-0.04309759898504638,-0.2686596340771918
LOC103241849,-0.4051979180673255,-0.01239750083105145,-0.26142725380948784
LOC103238793,-0.4087738643582996,0.03435200347679031,-0.2337149748845555
LOC103238863,-0.3954910944838276,0.052538908916569205,-0.19584990536970118
IGF2,-0.3862238191219856,0.050880396748100874,-0.17996295107600346
LOC103241858,-0.37998566337137296,0.04976444481040851,-0.16926801910275394
INS,-0.377811373598974,0.04937520736530255,-0.1655405834211744
TH,-0.3739599738471878,0.04868592296502987,-0.15893804201120862
LOC103239289,-0.3692020019268915,0.047834375000911464,-0.15078088265864217
ASCL2,-0.30078646036776974,0.052862803891144394,-0.10215263972854087
C1H11orf21,-0.28810948744474185,0.046178397576431975,-0.09647317120929266
TSPAN32,-0.2919337710500192,0.0336363937571085,-0.10207889203046594
LOC103239446,-0.2897321487883336,0.040856775864221796,-0.09885159621012442
CD81,-0.3462449550708004,0.027269159408586232,-0.11900636446088149
TSSC4,-0.3258500090686545,-0.01982651518985194,-0.13071013581905924
TRPM5,-0.3435070519299288,-0.013157568400769145,-0.13302381503870836
KCNQ1,-0.25766949712006776,-0.04738624495394895,-0.10151282452836291
LOC103241028,-0.3925793430494519,0.031245314092266236,-0.1591088598162269
LOC103240971,-0.33486898498338646,0.055093424215462254,-0.1769676268489924
LOC103241221,-0.2578512348245253,-0.0373840325623054,-0.10789432296709199
CDKN1C,-0.25362423126614875,-0.048430509322260264,-0.09981238614956169
SLC22A18AS,-0.3040215377589854,-0.038180777552903375,-0.14709180534007313
SLC22A18,-0.2786162300921009,-0.0647032730256834,-0.11462810396104398
PHLDA2,-0.28210851851527424,-0.06684947671276412,-0.11674956287033539
LOC103242002,-0.2913439859356913,-0.07252534591409746,-0.12236140177624938
NAP1L4,-0.2596495780475749,-0.04401654360162829,-0.0937517942052584
CARS,-0.2809576276106077,-0.053514964396925074,-0.10297418288142467
LOC103242208,-0.2921858612238422,-0.06403990684850407,-0.1135498249389051
LOC103242168,-0.28568984591839525,-0.057950910029140615,-0.10743162790136578
LOC103242043,-0.2810186510129812,-0.05357236005423323,-0.10303141339308308
OSBPL5,-0.32623874299956296,0.010660044417270474,-0.06937097579432515
LOC103241863,-0.32718096947587816,0.01143447223185342,-0.06907273263842344
LOC103242726,-0.3279158124907036,0.04130821926835212,-0.0831109909106928
MRGPRG,-0.3236833117934135,0.05232156150410367,-0.0915131007455277
LOC103242785,-0.32307223727637285,0.0539117712821864,-0.09272619094199529
MRGPRE,-0.32008911648809824,0.061674349023068474,-0.09864830113853146
LOC103242972,-0.30885584548526773,0.09090441289224342,-0.12094857547206282
ZNF195,-0.32289116691896913,0.06409279455795201,-0.1599251430657932
LOC103241864,-0.3058583641599089,0.10355731509242667,-0.16030555349138284
LOC103241868,-0.3064744297492955,0.10316144499561351,-0.1673919743437808
LOC103241874,-0.30959191937907515,0.10115735075827209,-0.20324971618264137
LOC103243359,-0.310264581296221,0.10072536070530476,-0.21098702327052501
NADSYN1,-0.3134496609465468,0.0709635301451829,-0.14567666690318534
DHCR7,-0.3152250359966603,0.07532765819582476,-0.1863477304900141
LOC103244038,-0.3158199317990118,0.07053472736717614,-0.17696571942207007
LOC103244089,-0.299826652103531,0.10594334924441498,-0.23426003065541998
LOC103244329,-0.3093607562795211,0.07306408284898602,-0.17555161619980575
LOC103244373,-0.2869888456977286,0.10281133138309527,-0.2158009440258574
LOC103244990,-0.2823654961166602,0.08827985537941549,-0.18306528330001037
SHANK2,-0.28515656434523917,0.028427307671226528,-0.344997569120627
LOC103244580,-0.2699196468265817,0.08453919648759008,-0.1343319185114617
LOC103244535,-0.2707323380649709,0.08715245637646157,-0.1361407912284429
LOC103244421,-0.2968717999797752,0.08635168933116184,-0.09846362497629611
CTTN,-0.2848029865607184,0.03340696521994393,-0.3466492497638141
LOC103245420,-0.285150542538697,0.05517788774497596,-0.3288040083425561
LOC103245379,-0.2846759025720145,0.0254452681246426,-0.3531753110368829
PPFIA1,-0.30131392770958715,0.004254014614827377,-0.3383540805795514
LOC103245132,-0.2820706115035406,0.0136275371325434,-0.35325462455916234
LOC103245088,-0.2796372140794264,0.010110832821012166,-0.3466862137637291
LOC103245679,-0.2773121285015793,-0.031537273642916495,-0.3100534783262518
FADD,-0.28755785972820896,-0.032903478333484705,-0.32488644356010987
LOC103245724,-0.2878656337637179,-0.032944304316018934,-0.32533201237221393
ANO1,-0.36405694549434925,0.04675805233337577,-0.23772051536413658
LOC103245820,-0.3229474594112019,0.05943930160087958,-0.328588158444415
FGF3,-0.35276341284571916,0.04083307997725994,-0.29709076588512406
FGF4,-0.3494444918630526,0.069855272570243,-0.2806701565330376
FGF19,-0.35573175445231314,0.016212683920638682,-0.2955290548738181
LOC103246443,-0.35857082493938686,-0.008078877566593966,-0.3030621929970285
ORAOV1,-0.38761473823852166,0.002675595533147642,-0.26368135795839737
CCND1,-0.3750933585148992,-0.03439835021393133,-0.29522754601677953
LOC103247017,-0.45673323347424805,-0.0001079359904972135,-0.1987883763692754
LOC103247076,-0.4602212198280398,-0.03218726322816374,-0.26090169577110217
MYEOV,-0.46231273539113305,-0.10115976407106428,-0.22945279669022997
LOC103247204,-0.42752494542506686,-0.12678628538563555,-0.1670374924733559
LOC103247706,-0.39723974218391683,-0.06583104996441609,-0.12379790848554749
TPCN2,-0.37215161989151246,-0.12313698240578941,-0.15122550875346555
LOC103247781,-0.374062086180212,-0.0868533009219952,-0.14460776111956017
MRGPRF,-0.3699050899950167,-0.0960099537268369,-0.14910434554308205
LOC103248150,-0.3591176459820635,-0.11977174990555116,-0.1607730309727094
MRGPRD,-0.36058370912597204,-0.1165422100261193,-0.1591867957280473
IGHMBP2,-0.4079179936072302,-0.11097376980134491,-0.185606194982986
LOC103248293,-0.3838985909557383,-0.11622932825687622,-0.17411090556821796
LOC103248244,-0.3866249548137618,-0.11563313938877935,-0.17541603096164535
MRPL21,-0.41914443354411285,-0.10851729024862453,-0.1909786049136851
LOC103248420,-0.4421621286999658,-0.10348084599331396,-0.20199457668319787
LOC103248586,-0.44529323643044844,-0.10137249023475704,-0.20629988315925413
LOC103241878,-0.43124934491747346,-0.09834089463650779,-0.21162115050548763
CPT1A,-0.37544509541048615,-0.08629264713498756,-0.23276416427183108
MTL5,-0.4212009640828628,-0.11482602232168118,-0.2804964743515102
GAL,-0.38820843592033105,-0.10491089032826376,-0.2832580117577706
LOC103248684,-0.3884260945306847,-0.10508806040157727,-0.28362829245473864
PPP6R3,-0.3912079789209683,-0.12613566109439378,-0.2986336750973684
LRP5,-0.2631465950486488,-0.1466612105888531,-0.25056763814459443
LOC103214741,-0.3232523092888988,-0.11117141151933034,-0.29127119803125096
LOC103214713,-0.28606336696863593,-0.1103261764150904,-0.27898913457819163
C1H11orf24,-0.25667969052327105,-0.13962574255706978,-0.23355276093927435
SUV420H1,-0.3068465196133649,-0.15246970303497712,-0.18748261102767422
CHKA,-0.2898277213457189,-0.17963182549695578,-0.11414775550203511
TCIRG1,-0.28140872717007864,-0.18444280930261753,-0.10343787409837359
NDUFS8,-0.3379163249166114,-0.1759818023947311,-0.1780445184233585
ALDH3B1,-0.2993141307309087,-0.18937665736196288,-0.12794808267140143
