gene_id,x,y,z
SCGB1C1,-1.2297592,-0.5007391,-3.5640106
ODF3,-1.2000751,-0.46162415,-3.5920181
BET1L,-1.156292,-0.40393066,-3.6333237
RIC8A,-1.1185417,-0.35418606,-3.6689453
SIRT3,-0.9878559,-0.18197918,-3.7922516
LOC103234607,-1.0980911,-0.32723808,-3.68824
PSMD13,-0.8907795,-0.054060936,-3.88385
NLRP6,-0.71398926,0.17890072,-4.050659
ATHL1,-0.6628609,0.24627209,-4.0989
IFITM5,-0.6376133,0.27954292,-4.122719
LOC103241759,-0.5633316,0.37742424,-4.19281
IFITM1,-0.55316925,0.39081573,-4.2024
LOC103241765,-0.5132351,0.44343662,-4.240074
IFITM3,-0.45254898,0.523406,-4.2973404
B4GALNT4,-0.2042408,0.91348743,-3.9939804
PKP3,-0.0712738,1.0541506,-4.4148483
SIGIRR,-0.026416779,1.1260433,-4.34787
ANO9,0.050849915,1.2498798,-4.2324905
PTDSS2,0.05290413,1.757165,-4.2379
RNH1,0.24870682,1.7736683,-3.940506
LOC103243628,0.24646759,1.6664286,-3.9421082
HRAS,0.2539692,2.0255518,-3.9367523
LRRC56,0.25917435,2.2747192,-3.9330292
C1H11orf35,0.26005363,2.316783,-3.9324036
RASSF7,0.26115227,2.3693857,-3.9316177
LOC103222129,0.262249,2.421937,-3.930832
PHRF1,0.11457634,1.723835,-4.354294
IRF7,0.19052315,2.3173342,-4.1482162
CDHR5,0.17030716,2.2472916,-4.2074585
SCT,0.16496658,2.2287884,-4.2231064
DRD4,0.13395691,2.1213408,-4.3139877
DEAF1,0.56367874,1.7900448,-4.2858047
TMEM80,0.20624733,1.6719742,-4.575489
EPS8L2,0.35497665,1.5428705,-4.5755005
TALDO1,0.5767689,1.3503428,-4.5755234
PDDC1,0.67998695,1.2607431,-4.575531
CEND1,0.756794,1.1940708,-4.5755386
SLC25A22,0.030359268,1.7381163,-4.3885117
LOC103233437,0.7850628,1.165123,-4.5660133
PIDD1,0.7314148,1.2001095,-4.540985
LOC103233792,0.70371056,1.2181768,-4.5280647
RPLP2,0.64250374,1.2580938,-4.4995117
PNPLA2,0.5564976,1.3141842,-4.4593887
EFCAB4A,0.5024719,1.3494177,-4.434185
CD151,0.4492035,1.3841581,-4.4093323
POLR2L,0.4173088,1.4049578,-4.394455
TSPAN4,0.22698212,1.5290813,-4.3056717
CHID1,0.29403114,1.7223845,-3.84449
AP2A2,0.5551777,1.9620295,-3.8735275
MUC6,0.50346756,2.1486702,-3.5126724
LOC103235151,0.62381554,2.1515121,-3.553566
MUC2,0.29094696,2.3052025,-2.8833618
LOC103241697,0.845953,2.198306,-3.4857712
MUC5AC,0.4727192,1.9097719,-3.3498764
MUC5B,0.22432137,1.8493891,-3.05616
TOLLIP,0.9010296,1.8036261,-2.6030731
LOC103235445,0.63772964,1.6027441,-2.8694534
LOC103241805,0.9460106,1.5139751,-2.6910324
BRSK2,0.18789482,1.7903852,-2.7012634
LOC103236142,0.9689579,1.519845,-2.5857391
MOB2,0.9332905,1.9866467,-3.0012894
LOC103236198,0.29954338,1.871315,-2.6844177
LOC103241812,0.5920658,2.0560951,-2.951126
DUSP8,0.6681652,2.104165,-3.0205154
LOC103241820,0.71136475,2.1314535,-3.059906
LOC103236463,0.79670715,2.1853619,-3.1377106
LOC103236414,0.82379913,1.5201693,-2.7974625
LOC103241837,1.1232185,1.7382498,-3.0859375
LOC103236741,1.2845058,1.1764755,-3.5004578
IFITM10,1.2440014,1.1456118,-3.6846771
CTSD,1.2183266,1.1260481,-3.801445
LOC103241848,1.3516998,1.346798,-3.0521927
