Y,Z
-0.08883758,-0.3105614
-0.08665455,-0.30690986
-0.08343521,-0.3015235
-0.080659255,-0.2968793
-0.071049325,-0.2808023
-0.0791553,-0.29436362
-0.063910685,-0.26886022
-0.05091062,-0.24711089
-0.047150925,-0.24082136
-0.0452942,-0.23771502
-0.03983179,-0.2285772
-0.039084475,-0.22732683
-0.036148172,-0.22241409
-0.03168554,-0.2149484
-0.051713124,-0.25296748
-0.020898331,-0.19893558
-0.025384083,-0.2073574
-0.033110064,-0.22186367
-0.0074806036,-0.1649022
-0.042300466,-0.23549359
-0.047389586,-0.24686663
-0.030347161,-0.20878044
-0.018522885,-0.1823552
-0.016527062,-0.17789443
-0.014030794,-0.17231567
-0.011536761,-0.16674213
-0.041355133,-0.15370403
-0.014771023,-0.1323377
-0.017628644,-0.12749767
-0.018383415,-0.12621896
-0.02276699,-0.11879393
-0.04705322,-0.08112241
-0.04524087,-0.08205954
-0.054320894,-0.06790569
-0.067862056,-0.04679927
-0.074163884,-0.03697678
-0.07885287,-0.029667344
-0.023971122,-0.08335615
-0.08004209,-0.026190316
-0.0753572,-0.029229172
-0.07293812,-0.030798383
-0.06759319,-0.034265343
-0.06008275,-0.039136685
-0.055364672,-0.042196795
-0.050712973,-0.045214023
-0.047928073,-0.047020778
-0.03130778,-0.057801276
-0.04081255,-0.025492227
0.024969777,-0.044658758
0.024751624,-0.02710656
0.032211345,-0.027373193
0.018008268,-0.009624472
0.047633845,-0.023489693
0.078899115,-0.049942166
0.08807386,-0.054244444
0.038463205,-0.013490445
0.0703132,-0.043555684
0.051609453,-0.029402576
0.04051571,-0.07989217
0.03796015,-0.031716492
0.03081069,-0.13435552
0.025593286,-0.100079365
0.02609597,-0.14496373
0.026226863,-0.15664034
0.026301071,-0.16326883
0.026447998,-0.17636362
0.058233853,-0.17964263
0.057401888,-0.22562224
0.037533537,-0.24597798
0.01935224,-0.23848358
0.007827039,-0.2337327
0.04914339,-0.20342618
0.0060493695,-0.18376368
0.0071457294,-0.18084267
0.040028315,-0.14784746
0.011735151,-0.1686175
0.04099863,-0.12759426
0.06494216,-0.10195921
0.079231374,-0.07351352
0.081439756,-0.036750425
0.09596093,-0.04490003
0.10439246,-0.060189027
0.11006817,-0.07048101
0.11204609,-0.07406805
0.11555034,-0.08042208
