Y,Z
-1.7612867,0.7920227
-1.7876511,0.8242645
-1.8265371,0.87181854
-1.8600664,0.91282654
-1.9761372,1.054779
-1.8782291,0.93504333
-2.062357,1.1602249
-2.2193766,1.3522644
-2.2647867,1.4077988
-2.2872124,1.4352264
-2.3531857,1.5159149
-2.3622122,1.526947
-2.3976793,1.5703278
-2.45158,1.6362457
-2.501215,2.0272598
-2.7132168,2.1050491
-2.7183104,2.1784286
-2.727085,2.3048325
-2.5734787,1.8947678
-2.6864681,2.4589767
-2.7178516,2.5403366
-2.6127548,2.2678833
-2.539836,2.0788498
-2.527526,2.046936
-2.5121317,2.0070267
-2.4967527,1.9671631
-2.5104198,1.8903046
-2.4277563,1.7296219
-2.4213943,1.6973038
-2.419714,1.6887741
-2.409956,1.6392059
-2.4371948,1.7232742
-2.3911848,1.5229874
-2.3997555,1.5473022
-2.4125366,1.5835571
-2.4184856,1.6004333
-2.4229116,1.6129913
-2.276043,1.6568451
-2.4191885,1.6259003
-2.4020433,1.6388931
-2.3931904,1.6455994
-2.3736296,1.6604233
-2.3461428,1.6812515
-2.3288765,1.6943359
-2.3118525,1.7072372
-2.3016596,1.7149658
-2.2408342,1.7610626
-2.7449102,1.6444168
-2.4783936,1.0643692
-2.8029423,1.0207138
-2.767046,0.887619
-2.40413,1.4665833
-2.5819206,0.696167
-2.5851593,1.5851517
-2.4445496,2.1320038
-2.4230976,2.565071
-2.5693521,2.7614746
-2.6024122,3.0720978
-3.2683249,3.08992
-2.765296,3.2630463
-2.508811,3.3641357
-3.299161,3.3162231
-2.8507051,3.3671875
-2.7340412,3.3804398
-2.6678114,3.38797
-2.5369778,3.4028397
-3.2682152,3.1987991
-2.7764053,3.259819
-3.4126244,2.9036102
-3.5281353,2.8297195
-3.6013556,2.782875
-3.020235,2.8684235
-3.2812414,2.6899796
-3.2515707,2.6885605
-3.7585602,2.638916
-3.1273918,2.6826477
-3.280326,2.6400223
-3.6083183,2.6040802
-3.840025,2.4161835
-3.9643774,1.977356
-3.8322744,1.5530853
-3.7154427,1.4107208
-3.6367989,1.3148804
-3.6093874,1.2814789
-3.560833,1.2223129
-3.5008488,1.1492157
-2.779808,0.6879959
-2.6300058,0.66257477
-2.640833,0.76143646
-2.6345997,0.7045212
-3.176958,0.92993164
-2.8654604,1.222641
-3.0592146,1.2145538
-2.0845222,1.0675735
-3.6952705,1.2831421
-3.2214499,1.3820496
-2.1223507,1.0911255
-2.0398436,1.0564804
-2.6247978,1.4535065
-2.2598076,1.2505417
-2.2909632,1.2776718
-2.3733568,1.3494339
-2.1023798,0.98052216
-2.2971706,1.0972366
-2.3926134,1.2337036
-2.3373957,1.1547546
-2.2976885,1.0979767
-2.868122,0.5249176
-2.8790236,0.51891327
-2.9869804,0.5413666
-2.9872484,0.58174133
-2.9872875,0.5875702
-2.9874773,0.61602783
-2.9881897,0.7231903
-3.1056404,1.1898804
-3.0475273,1.0519562
-3.0622005,1.1207428
-3.136447,1.468811
-3.1524687,1.5439148
-3.0126257,1.0314713
-3.0977554,1.4021225
-3.0775957,1.3303909
-3.0967817,1.7493591
-3.0194921,1.3094711
-2.9375372,1.5890503
-2.8077736,1.3326416
-2.894291,3.096756
-2.6090908,0.88610077
-2.6266394,0.8933716
-2.8278723,0.5295563
-2.9066925,3.0940857
-2.9449492,2.843071
-2.892702,3.1858826
-2.976962,3.1184464
-2.8351393,3.2313538
-2.7927628,3.1825943
-2.6061115,2.9891663
-2.7227964,3.1324387
-2.7263021,3.1367416
-3.5671597,1.9829102
-3.325282,2.8137512
-3.5223303,2.5738754
-3.5465298,2.310585
-3.4820032,2.64962
-3.4538097,2.810814
-3.7125778,2.38694
-3.5325546,2.8290253
-4.290598,1.7582626
-4.322503,2.4681091
-4.111558,2.4242935
-3.616251,1.9355316
-3.427435,1.3062286
-3.0638752,1.7880859
-3.172408,1.5895996
-3.1130257,1.6677246
-2.9589272,1.8704605
-2.9798698,1.8429031
-3.4934835,2.059555
-3.2288523,1.9768524
-3.2588892,1.9862442
-3.6171694,2.0982056
-3.8707647,2.1774597
-3.913001,2.2096863
-3.7914753,2.2533493
-3.308589,2.4268265
-3.7430582,2.973732
-3.4517994,2.9731522
-3.45395,2.977272
-3.444316,3.1976013
-2.0720282,2.8547516
-2.8115778,3.0923843
-2.4339352,2.98349
-2.0047016,2.66848
-2.396124,2.2622223
-2.0550976,1.6697845
-1.9450626,1.5881958
-2.622346,2.250328
-2.1400948,1.8345947
-2.242567,1.9584732
-1.9126692,2.2999802
-2.3035994,2.5845947
-2.2812843,2.60392
-2.2341328,2.6447449
-2.1958847,2.677864
-2.037817,2.8147278
-2.0576763,3.04348
-2.218113,3.1618042
-2.316986,3.234726
-2.4211893,3.3115768
-2.4846725,3.3583984
-2.5972013,3.441391
-2.6806793,3.45533
-2.7126799,3.4593658
-2.7982244,3.4701767
-2.8173866,3.4725952
-2.8770733,3.4801407
-2.9784298,3.4929428
-3.0631094,3.5036392
-3.1048393,3.5089111
-3.1904535,2.811226
-3.00906,3.006981
-3.3672848,3.4236374
-3.3920774,2.9552307
-3.398242,2.8387756
-3.4100008,2.616623
-2.3746834,3.4549713
-2.2019157,3.429329
-2.1881533,3.4564438
-2.6894083,3.1546097
-2.4523258,3.5121155
-2.7855263,3.3299713
-3.6039877,3.1014328
-3.629384,3.6853714
-3.5025034,3.260048
-3.9967794,2.9788666
-3.5345411,2.9702988
-3.5164766,2.969963
-3.3051748,2.7108078
-3.1371183,2.780487
-2.912177,2.6485138
-2.7383738,2.5465393
-2.7133675,2.531868
-2.605589,2.4032211
-2.5701714,2.2628174
-2.5519037,2.1903992
-2.4803486,1.9067383
-2.4088917,1.6234665
-2.5154753,1.6250916
-2.6549683,1.6581116
-2.8773336,1.7107468
-3.1550617,1.7764893
-3.3158197,1.9646912
-3.297699,1.9897842
-3.2193613,2.098259
-3.201622,2.1228256
-3.1492682,2.1953278
-3.1152153,2.2424774
-3.013605,2.3831863
-2.924552,2.5065079
-2.8770456,2.5722885
-2.8349495,2.6305847
-2.7733831,2.7158356
-2.9241657,2.9314194
-2.704709,2.999817
-3.1398726,4.1352806
-2.4732428,4.071232
-3.0349455,4.2326202
-2.860941,4.245056
-2.8215494,4.2478714
-2.7552862,4.2526054
-2.728053,4.254551
-2.6013737,4.263603
-2.456211,4.273979
-2.566226,3.7580261
-2.3091955,3.9427414
-2.3015728,3.921524
-2.224351,3.7065735
-2.2179155,3.6886673
-2.1974134,3.6315918
-2.184163,3.5947113
-2.1436157,3.4818497
-2.1341782,3.4555817
-2.5517159,3.2906876
-2.1579409,3.3521423
-2.1706228,3.3347626
-2.1692553,3.3366394
-2.1768475,3.326233
-2.4150352,2.9998093
-2.4717512,2.922081
-2.5243654,2.8499756
-2.5609798,2.799797
-2.5448713,3.0448227
-2.5262108,3.1232376
-2.4896975,3.2766647
-2.4363918,3.5006638
-2.1331406,2.9857483
-2.215272,3.536583
-2.3438082,3.6022568
-2.1121483,3.4838943
-2.174532,3.51577
-2.044077,3.449112
-1.917736,3.3845596
-1.9129171,3.3820953
-1.8867245,3.3687134
-1.8757381,3.3631058
-2.1626139,3.8909912
-1.6944866,3.3808212
-1.7757254,3.6513824
-1.8022757,3.739811
