Y,Z
-0.5007391,-3.5640106
-0.46162415,-3.5920181
-0.40393066,-3.6333237
-0.35418606,-3.6689453
-0.18197918,-3.7922516
-0.32723808,-3.68824
-0.054060936,-3.88385
0.17890072,-4.050659
0.24627209,-4.0989
0.27954292,-4.122719
0.37742424,-4.19281
0.39081573,-4.2024
0.44343662,-4.240074
0.523406,-4.2973404
0.91348743,-3.9939804
1.0541506,-4.4148483
1.1260433,-4.34787
1.2498798,-4.2324905
1.757165,-4.2379
1.7736683,-3.940506
1.6664286,-3.9421082
2.0255518,-3.9367523
2.2747192,-3.9330292
2.316783,-3.9324036
2.3693857,-3.9316177
2.421937,-3.930832
1.723835,-4.354294
2.3173342,-4.1482162
2.2472916,-4.2074585
2.2287884,-4.2231064
2.1213408,-4.3139877
1.7900448,-4.2858047
1.6719742,-4.575489
1.5428705,-4.5755005
1.3503428,-4.5755234
1.2607431,-4.575531
1.1940708,-4.5755386
1.7381163,-4.3885117
1.165123,-4.5660133
1.2001095,-4.540985
1.2181768,-4.5280647
1.2580938,-4.4995117
1.3141842,-4.4593887
1.3494177,-4.434185
1.3841581,-4.4093323
1.4049578,-4.394455
1.5290813,-4.3056717
1.7223845,-3.84449
1.9620295,-3.8735275
2.1486702,-3.5126724
2.1515121,-3.553566
2.3052025,-2.8833618
2.198306,-3.4857712
1.9097719,-3.3498764
1.8493891,-3.05616
1.8036261,-2.6030731
1.6027441,-2.8694534
1.5139751,-2.6910324
1.7903852,-2.7012634
1.519845,-2.5857391
1.9866467,-3.0012894
1.871315,-2.6844177
2.0560951,-2.951126
2.104165,-3.0205154
2.1314535,-3.059906
2.1853619,-3.1377106
1.5201693,-2.7974625
1.7382498,-3.0859375
1.1764755,-3.5004578
1.1456118,-3.6846771
1.1260481,-3.801445
1.346798,-3.0521927
1.2796841,-3.4755707
1.2922783,-3.4409027
0.7179737,-3.5011444
1.344985,-3.2957993
1.0371647,-3.11454
0.64704514,-3.1259842
0.43193054,-2.9306183
0.44226933,-2.402649
0.49225807,-2.0413513
0.520524,-1.9629745
0.5395508,-1.9102173
0.54618263,-1.8918228
0.55793,-1.8592529
0.57244205,-1.8190079
1.2868958,-1.8684692
1.461813,-1.9288635
1.470788,-1.9843979
