gene_id,x,y,z
SCGB1C1,0.0765395,-0.073888555,-0.25830212
ODF3,0.07873575,-0.07207288,-0.25526503
BET1L,0.08197506,-0.06939527,-0.25078508
RIC8A,0.08476805,-0.067086436,-0.24692234
SIRT3,0.094436675,-0.059093602,-0.23355071
LOC103234607,0.08628102,-0.06583556,-0.24483
PSMD13,0.10161875,-0.053156205,-0.22361813
NLRP6,0.11469852,-0.042343706,-0.20552865
ATHL1,0.11848123,-0.039216667,-0.20029749
IFITM5,0.12034933,-0.03767238,-0.19771385
LOC103241759,0.12584475,-0.033129152,-0.1901137
IFITM1,0.12659658,-0.03250759,-0.18907373
LOC103241765,0.12955117,-0.03006539,-0.18498766
IFITM3,0.13404104,-0.0263537,-0.17877826
B4GALNT4,0.15170498,-0.04301117,-0.21039972
PKP3,0.16193098,-0.017381694,-0.16545998
SIGIRR,0.16510577,-0.021112612,-0.17246464
ANO9,0.17057483,-0.027538512,-0.18452987
PTDSS2,0.18897106,-0.0062218155,-0.1371535
RNH1,0.19206336,-0.035182413,-0.19586623
LOC103243628,0.18815161,-0.03941517,-0.2053255
HRAS,0.20125185,-0.025240535,-0.17364821
LRRC56,0.2103411,-0.0154059725,-0.15166962
C1H11orf35,0.21187547,-0.013745994,-0.14795949
RASSF7,0.21379443,-0.011669781,-0.14331949
LOC103222129,0.21571153,-0.0095954295,-0.13868384
PHRF1,0.16797103,-0.034396157,-0.1278397
IRF7,0.20025685,-0.01228545,-0.11006876
CDHR5,0.19456355,-0.014662208,-0.10604319
SCT,0.19305928,-0.015289973,-0.10497965
DRD4,0.18432547,-0.018935906,-0.09880404
DEAF1,0.17124663,-0.039135408,-0.06747165
TMEM80,0.15312397,-0.03762803,-0.06825108
EPS8L2,0.14753333,-0.04518012,-0.05647895
TALDO1,0.13919622,-0.056442663,-0.038924187
PDDC1,0.13531643,-0.06168406,-0.030754564
CEND1,0.13242945,-0.06558402,-0.024675112
SLC25A22,0.16431051,-0.019937415,-0.069329515
LOC103233437,0.13159977,-0.06657312,-0.021783179
PIDD1,0.13422869,-0.06267657,-0.024310675
LOC103233792,0.13558626,-0.060664564,-0.02561583
RPLP2,0.13858552,-0.056219038,-0.028499389
PNPLA2,0.14279997,-0.049972408,-0.032551013
EFCAB4A,0.14544751,-0.046048257,-0.035096187
CD151,0.14805782,-0.04217932,-0.037605695
POLR2L,0.14962071,-0.039863043,-0.03910842
TSPAN4,0.15894723,-0.026039507,-0.048074845
CHID1,0.11005232,-0.033944875,-0.021202559
AP2A2,0.16496092,0.020768024,-0.037143867
MUC6,0.13439587,0.02058658,-0.022545243
LOC103235151,0.14254005,0.026791027,-0.022767007
MUC2,0.08062555,0.0149779515,-0.008004927
LOC103241697,0.14744246,0.039618324,-0.019536998
MUC5AC,0.10607544,0.06562248,-0.04153822
MUC5B,0.06815431,0.07325335,-0.045116536
TOLLIP,0.10029157,0.031990863,-0.011220359
LOC103235445,0.09127583,0.058481347,-0.036226414
LOC103241805,0.10700003,0.042924944,-0.0244549
