label,score,hdr100_components,hdr100_contours,hdr100_pixels,pf100_components,pf100_contours,pf100_pixels,chrom,hrs
chr29_18hrs_untr,37.81,6,3,10894,23,4,7170,chr29,18hrs
chr29_12hrs_untr,27.972,6,3,9764,10,2,6990,chr29,12hrs
chr28_24hrs_untr,20.74,8,1,8594,9,1,6745,chr28,24hrs
chr19_12hrs_untr,19.156,6,1,11871,12,1,9664,chr19,12hrs
chr3_24hrs_vacv,16.828,1,1,10922,6,2,8579,chr3,24hrs
chr27_24hrs_vacv,16.526,4,1,10174,10,2,7388,chr27,24hrs
chr19_18hrs_untr,16.259999999999998,5,1,11540,8,1,9073,chr19,18hrs
chr19_24hrs_vacv,13.612,5,1,10868,6,1,9129,chr19,24hrs
chr29_24hrs_vacv,13.562000000000001,4,1,9340,9,1,6769,chr29,24hrs
chr4_12hrs_vacv,13.434000000000001,5,1,8507,7,1,7220,chr4,12hrs
chr13_24hrs_vacv,11.25,1,1,11598,2,2,9587,chr13,24hrs
chr4_18hrs_vacv,10.882,3,1,11020,7,1,8669,chr4,18hrs
chr28_12hrs_vacv,9.55,3,1,6931,4,1,5545,chr28,12hrs
chr27_12hrs_untr,9.488,3,1,8816,5,1,6450,chr27,12hrs
chr27_18hrs_untr,9.456,2,1,9196,7,1,6699,chr27,18hrs
chr2_24hrs_untr,9.018,3,1,11718,4,1,10503,chr2,24hrs
chr23_24hrs_untr,8.732,3,1,11277,4,1,9699,chr23,24hrs
chr6_12hrs_vacv,8.168,3,1,13341,3,1,11954,chr6,12hrs
chr2_18hrs_vacv,7.956,2,1,8131,4,1,7038,chr2,18hrs
chr18_12hrs_untr,7.651999999999999,2,1,11628,4,1,9569,chr18,12hrs
chr4_24hrs_untr,7.572,2,1,10302,4,1,8722,chr4,24hrs
chr15_24hrs_untr,7.36,1,1,9471,6,1,7749,chr15,24hrs
chr26_24hrs_vacv,7.1259999999999994,2,1,11393,3,1,9631,chr26,24hrs
chr13_18hrs_untr,7.018,2,1,10627,3,1,8871,chr13,18hrs
chr18_18hrs_vacv,6.996,2,1,9646,3,1,7997,chr18,18hrs
chr20_18hrs_vacv,6.894,2,1,11311,3,1,10124,chr20,18hrs
chr26_12hrs_vacv,6.682,2,1,12840,2,1,10902,chr26,12hrs
chr23_12hrs_untr,6.604000000000001,2,1,8587,2,1,7533,chr23,12hrs
chr21_18hrs_untr,6.5920000000000005,2,1,8971,2,1,7785,chr21,18hrs
chr3_18hrs_vacv,6.414,2,1,9917,2,1,8318,chr3,18hrs
chr6_24hrs_vacv,6.334,2,1,11561,2,1,10534,chr6,24hrs
chr22_12hrs_vacv,6.334,2,1,11038,2,1,9831,chr22,12hrs
chr23_18hrs_vacv,6.334,2,1,10103,2,1,8569,chr23,18hrs
chr28_18hrs_vacv,6.07,1,1,6189,3,1,4892,chr28,18hrs
chr26_18hrs_untr,5.618,1,1,12540,3,1,10428,chr26,18hrs
chr25_24hrs_vacv,5.616,1,1,9755,3,1,8424,chr25,24hrs
chr5_18hrs_vacv,5.464,1,1,14909,2,1,13791,chr5,18hrs
chr25_12hrs_untr,5.336,1,1,10342,2,1,8632,chr25,12hrs
chr3_12hrs_untr,5.336,1,1,7533,2,1,6376,chr3,12hrs
chr7_18hrs_vacv,5.29,1,1,9204,2,1,7716,chr7,18hrs
chr6_18hrs_vacv,5.232,1,1,11998,2,1,10745,chr6,18hrs
chr5_12hrs_vacv,5.1,1,1,13939,2,1,12374,chr5,12hrs
chr14_12hrs_vacv,5.084,1,1,9063,2,1,7996,chr14,12hrs
chr22_18hrs_vacv,5.072,1,1,6042,2,1,5384,chr22,18hrs
chr25_18hrs_vacv,5.064,1,1,9523,2,1,8171,chr25,18hrs
chr21_24hrs_untr,5.061999999999999,1,1,7676,2,1,6699,chr21,24hrs
chr15_12hrs_vacv,5.058,1,1,10260,2,1,8618,chr15,12hrs
chr2_12hrs_untr,5.058,1,1,10042,2,1,8803,chr2,12hrs
chr22_24hrs_untr,4.5,1,1,7806,1,1,6861,chr22,24hrs
chr1_12hrs_untr,4.5,1,1,10851,1,1,9815,chr1,12hrs
chr21_12hrs_untr,4.5,1,1,7582,1,1,6638,chr21,12hrs
chr20_24hrs_untr,4.5,1,1,9981,1,1,9055,chr20,24hrs
chr1_24hrs_untr,4.5,1,1,11553,1,1,10410,chr1,24hrs
chr5_24hrs_untr,4.5,1,1,13342,1,1,12200,chr5,24hrs
chr7_12hrs_untr,4.5,1,1,5501,1,1,4588,chr7,12hrs
chr7_24hrs_untr,4.5,1,1,4678,1,1,4198,chr7,24hrs
chr10_12hrs_untr,4.5,1,1,9487,1,1,8326,chr10,12hrs
chr10_18hrs_untr,4.5,1,1,8611,1,1,7659,chr10,18hrs
chr10_24hrs_untr,4.5,1,1,9955,1,1,8778,chr10,24hrs
chr12_12hrs_untr,4.5,1,1,8646,1,1,7463,chr12,12hrs
chr12_18hrs_untr,4.5,1,1,8602,1,1,7761,chr12,18hrs
chr12_24hrs_untr,4.5,1,1,6662,1,1,5972,chr12,24hrs
chr13_12hrs_untr,4.5,1,1,7314,1,1,6484,chr13,12hrs
chr14_18hrs_untr,4.5,1,1,8595,1,1,7488,chr14,18hrs
chr14_24hrs_untr,4.5,1,1,10697,1,1,9549,chr14,24hrs
chr15_18hrs_untr,4.5,1,1,9486,1,1,8104,chr15,18hrs
chr1_18hrs_untr,4.5,1,1,10163,1,1,9448,chr1,18hrs
chr16_18hrs_untr,4.5,1,1,10626,1,1,9511,chr16,18hrs
chr16_24hrs_untr,4.5,1,1,9882,1,1,8825,chr16,24hrs
chr18_24hrs_untr,4.5,1,1,9730,1,1,8389,chr18,24hrs
chr20_12hrs_untr,4.5,1,1,8766,1,1,8010,chr20,12hrs
chr16_12hrs_untr,4.5,1,1,13456,1,1,12261,chr16,12hrs
