gene_id,x,y,z
SCGB1C1,1.9715805,-1.7612867,0.7920227
ODF3,1.9389114,-1.7876511,0.8242645
BET1L,1.8907242,-1.8265371,0.87181854
RIC8A,1.8491745,-1.8600664,0.91282654
SIRT3,1.7053452,-1.9761372,1.054779
LOC103234607,1.8266678,-1.8782291,0.93504333
PSMD13,1.5985069,-2.062357,1.1602249
NLRP6,1.4039345,-2.2193766,1.3522644
ATHL1,1.3476639,-2.2647867,1.4077988
IFITM5,1.3198776,-2.2872124,1.4352264
LOC103241759,1.2381248,-2.3531857,1.5159149
IFITM1,1.2269402,-2.3622122,1.526947
LOC103241765,1.182991,-2.3976793,1.5703278
IFITM3,1.1161995,-2.45158,1.6362457
B4GALNT4,1.4712067,-2.501215,2.0272598
PKP3,0.9796486,-2.7132168,2.1050491
SIGIRR,1.0580177,-2.7183104,2.1784286
ANO9,1.1930084,-2.727085,2.3048325
PTDSS2,0.85134506,-2.5734787,1.8947678
RNH1,1.3970947,-2.6864681,2.4589767
LOC103243628,1.4641838,-2.7178516,2.5403366
HRAS,1.2395172,-2.6127548,2.2678833
LRRC56,1.083641,-2.539836,2.0788498
C1H11orf35,1.0573273,-2.527526,2.046936
RASSF7,1.0244179,-2.5121317,2.0070267
LOC103222129,0.9915428,-2.4967527,1.9671631
PHRF1,1.7413368,-2.5104198,1.8903046
IRF7,1.2205658,-2.4277563,1.7296219
CDHR5,1.3084946,-2.4213943,1.6973038
SCT,1.3317223,-2.419714,1.6887741
DRD4,1.4666061,-2.409956,1.6392059
DEAF1,0.88500977,-2.4371948,1.7232742
TMEM80,1.6472054,-2.3911848,1.5229874
EPS8L2,1.4561272,-2.3997555,1.5473022
TALDO1,1.1711807,-2.4125366,1.5835571
PDDC1,1.0385704,-2.4184856,1.6004333
CEND1,0.9398918,-2.4229116,1.6129913
SLC25A22,1.8081512,-2.276043,1.6568451
LOC103233437,0.9002609,-2.4191885,1.6259003
PIDD1,0.96048355,-2.4020433,1.6388931
LOC103233792,0.99158096,-2.3931904,1.6455994
RPLP2,1.0602875,-2.3736296,1.6604233
PNPLA2,1.1568336,-2.3461428,1.6812515
